id,name,cost,startingGold,startingPoints,transitionPoints,size,maxHP,protection,magicResistance,morale,strength,attack,defence,precision,encumbrance,actionPoints,naturalWeapons,paths,abilities,properties,slots,parts,transitions,categories
f11,smoulderghost,"gold (199), onyxes (7), rubies (7)",0,0,4,2,15,"eye (0), head (0), body (0), arm (0), leg (0)",14,16,13,11,10,7,0,12,,,"heatAura (3), fireResistance (25), poisonResistance (25)","ethereal, needNotEat, wastelandSurvival, undead","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f12,satyr,"gold (57), emeralds (2)",0,0,1,2,12,"eye (1), head (1), body (1), arm (1), leg (1)",13,9,11,10,12,10,3,14,,,stealthy (40),"recuperation, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f35, f36, f41, f42",Tagless
f13,ko-oni,gold (88),0,0,2,1,9,"eye (3), head (3), body (3), arm (3), leg (3)",13,9,10,11,12,10,1,7,,,"chaosPower (1), pillageBonus (1), secondshape (14), stealthy (40)","demon, mountainSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f15, f17, f19",Demon
f14,ko-oni spirit,,0,0,0,1,5,"eye (0), head (0), body (0), arm (0), leg (0)",13,9,10,11,12,10,0,7,e67 (1),,"chaosPower (1), firstshape (13), pillageBonus (1)","ethereal, undead","hands (2), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f15, f17, f19",Demon
f15,ao-oni,"gold (115), onyxes (2)",0,0,3,2,14,"eye (4), head (4), body (4), arm (4), leg (4)",14,14,13,11,9,8,1,10,e160 (1),,"chaosPower (1), pillageBonus (1), coldResistance (5), secondshape (16)","demon, mountainSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f21,Demon
f16,ao-oni spirit,,0,0,0,2,7,"eye (0), head (0), body (0), arm (0), leg (0)",14,14,13,11,9,8,0,10,e67 (1),,"chaosPower (1), firstshape (15), pillageBonus (1), poisonResistance (25)","ethereal, undead","hands (2), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f21,Demon
f17,aka-oni,"gold (102), onyxes (2)",0,0,2,2,14,"eye (4), head (4), body (4), arm (4), leg (4)",14,14,13,11,9,8,1,10,e383 (1),,"chaosPower (1), pillageBonus (1), fireResistance (5), secondshape (18)","demon, mountainSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f21,Demon
f18,aka-oni spirit,,0,0,0,2,7,"eye (0), head (0), body (0), arm (0), leg (0)",14,14,13,11,9,8,0,10,e67 (1),,"chaosPower (1), firstshape (17), pillageBonus (1), poisonResistance (25)","ethereal, undead","hands (2), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f21,Demon
f19,oni,"gold (170), onyxes (2)",0,0,4,3,24,"eye (6), head (6), body (6), arm (6), leg (6)",15,15,16,12,11,9,1,14,,,"chaosPower (1), pillageBonus (1), secondshape (20)","demon, mountainSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f21,Demon
f20,oni spirit,,0,0,0,3,12,"eye (0), head (0), body (0), arm (0), leg (0)",15,15,16,12,11,9,0,14,e67 (1),,"chaosPower (1), firstshape (19), pillageBonus (1), poisonResistance (25)","ethereal, undead","hands (2), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f21,Demon
f21,kuro-oni,"gold (183), onyxes (2)",0,0,4,3,24,"eye (6), head (6), body (6), arm (6), leg (6)",15,15,16,12,11,9,1,14,,,"chaosPower (1), pillageBonus (1), fireResistance (5), poisonResistance (5), secondshape (22)","demon, mountainSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f234,Demon
f22,kuro-oni spirit,,0,0,0,3,12,"eye (0), head (0), body (0), arm (0), leg (0)",15,15,16,12,11,9,0,14,e67 (1),,"chaosPower (1), firstshape (20), pillageBonus (1), poisonResistance (25)","ethereal, undead","hands (2), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f234,Demon
f23,shikome,"gold (194), rubies (1), emeralds (3), sapphires (1)",0,0,4,2,15,"eye (5), head (5), body (5), arm (5), leg (5)",15,15,12,13,13,10,2,14,e529 (2),,"berserk (4), coldResistance (5), fireResistance (5), poisonResistance (15)","demon, female","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Demon
f24,dai bakemono,gold (107),0,0,2,3,20,"eye (3), head (3), body (3), arm (3), leg (3)",11,13,15,11,11,10,2,14,,,darkvision (50),mountainSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f25,o-bakemono,gold (114),0,0,2,3,28,"eye (7), head (7), body (7), arm (7), leg (7)",8,14,19,10,9,8,2,14,,,darkvision (50),mountainSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f26,atlantian,gold (16),26,3,0,2,12,"eye (2), head (2), body (2), arm (2), leg (2)",10,10,11,10,9,8,3,12,,,darkvision (50),amphibian,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f27, f28","Amphibian, Starting Form"
f27,deep one,"gold (34), rubies (1), sapphires (1)",0,0,1,2,14,"eye (4), head (4), body (4), arm (4), leg (4)",8,12,12,10,7,7,3,9,"e20 (1), e29 (1)",,"darkvision (100), coldResistance (5), fireResistance (5)",amphibian,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f29, f169, f188, f189",Amphibian
f28,shambler,gold (74),0,0,1,3,22,"eye (7), head (7), body (7), arm (7), leg (7)",10,11,15,10,9,8,3,11,e29 (2),,darkvision (50),amphibian,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f29, f188, f189",Amphibian
f29,shambler of the deep,"gold (95), rubies (1), sapphires (1)",0,0,2,3,26,"eye (9), head (9), body (9), arm (9), leg (9)",7,13,16,10,7,8,3,12,"e20 (1), e29 (2)",,"darkvision (100), coldResistance (5), fireResistance (5)",amphibian,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f192,Amphibian
f30,deep one sleeper,"gold (130), rubies (1), sapphires (1)",0,0,3,3,31,"eye (9), head (9), body (9), arm (9), leg (9)",13,15,18,11,7,8,3,12,"e20 (1), e29 (2)",,"castleDefence (2), darkvision (100), coldResistance (5), fireResistance (5), voidSanity (15)",amphibian,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Amphibian
f31,vaetti hag,,0,0,0,1,7,"eye (0), head (0), body (0), arm (0), leg (0)",14,9,7,7,7,10,3,10,e543 (1),"astral (0.25), blood (0.25), death (0.25), nature (0.25)",stealthy (40),forestSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f32,chak muuch,"gold (25), emeralds (2)",0,0,0,2,14,"eye (2), head (2), body (2), arm (2), leg (2)",11,11,12,10,9,11,4,10,,,"darkvision (50), poisonSkin (20)","amphibian, swampSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Amphibian
f33,wo' muuch,gold (97),0,0,2,3,26,"eye (6), head (6), body (6), arm (6), leg (6)",10,14,16,11,10,8,4,11,,,darkvision (100),"amphibian, swampSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f187,Amphibian
f34,sak muuch,gold (13),29,2,0,2,14,"eye (2), head (2), body (2), arm (2), leg (2)",10,10,12,10,9,8,4,10,,,darkvision (100),"amphibian, swampSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f32, f33","Amphibian, Starting Form"
f35,centaur,"gold (119), emeralds (2)",0,0,2,3,20,"eye (3), head (3), body (3), arm (3), leg (3)",13,11,13,10,14,12,3,30,e55 (1),,stealthy (40),"forestSurvival, recuperation","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)",f37,Tagless
f36,centauride,"gold (127), emeralds (2)",0,0,3,3,18,"eye (3), head (3), body (3), arm (3), leg (3)",13,11,12,10,15,13,3,32,e55 (1),,stealthy (40),"female, recuperation, forestSurvival","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)","f38, f40",Tagless
f37,sacred centaur,"gold (144), emeralds (2)",0,0,3,3,23,"eye (3), head (3), body (3), arm (3), leg (3)",14,12,14,11,14,13,3,30,e55 (1),,stealthy (40),"recuperation, forestSurvival","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)",,Tagless
f38,white centauride,"gold (163), emeralds (2)",0,0,3,3,20,"eye (3), head (3), body (3), arm (3), leg (3)",14,13,12,11,16,13,3,32,e55 (1),"water (0.5), nature (0.5), holy (0)",stealthy (40),"female, recuperation, forestSurvival","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)",,Tagless
f39,chud skinshifter,"gold (167), emeralds (1)",0,0,3,2,18,"eye (2), head (2), body (2), arm (2), leg (2)",13,13,14,11,11,10,2,14,,,"berserk (1), coldResistance (5), secondshape (102)",recuperation,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f40,black centauride,"gold (163), emeralds (2)",0,0,3,3,20,"eye (3), head (3), body (3), arm (3), leg (3)",14,13,12,11,16,13,3,32,e55 (1),"death (0.5), nature (0.5), water (0.1), holy (0)",stealthy (40),"female, recuperation, forestSurvival","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (4)",,Tagless
f41,minotaur,"gold (101), emeralds (2)",0,0,2,3,25,"eye (4), head (4), body (4), arm (4), leg (4)",11,13,16,8,8,8,3,15,,,berserk (4),"recuperation, forestSurvival, trample","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f43,Tagless
f42,civilised minotaur,"gold (96), emeralds (2)",0,0,2,3,23,"eye (4), head (4), body (4), arm (4), leg (4)",10,14,16,9,9,8,3,15,,,,"recuperation, forestSurvival, trample","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f43,Tagless
f43,white minotaur,"gold (155), emeralds (2)",0,0,3,3,26,"eye (5), head (5), body (5), arm (5), leg (5)",13,13,17,10,10,8,3,15,,,berserk (4),"recuperation, forestSurvival, trample","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f44,longdead,"gold (134), onyxes (7), sapphires (3)",0,0,3,2,5,"eye (0), head (0), body (0), arm (0), leg (0)",9,50,10,11,9,10,0,11,,,"coldResistance (15), poisonResistance (25), pierceImmunity (50)","noHealNaturally, lifeless, mindless, poorAmphibian","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f45,longdead c'tissian,"gold (138), onyxes (7), sapphires (3)",0,0,3,2,6,"eye (0), head (0), body (0), arm (0), leg (0)",11,50,10,11,9,10,0,10,,,"coldResistance (15), poisonResistance (25), pierceImmunity (50)","noHealNaturally, lifeless, mindless, poorAmphibian","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f46,longdead predator lizard,"gold (145), onyxes (7), sapphires (3)",0,0,3,2,7,"eye (0), head (0), body (0), arm (0), leg (0)",10,50,11,12,7,10,0,11,e20 (1),,"coldResistance (15), poisonResistance (25), pierceImmunity (50)","noHealNaturally, lifeless, mindless, poorAmphibian","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f47,longdead rephaite,"gold (240), onyxes (7), sapphires (3)",0,0,5,4,20,"eye (0), head (0), body (0), arm (0), leg (0)",10,50,20,12,10,5,0,14,,,"coldResistance (15), poisonResistance (25), pierceImmunity (50)","noHealNaturally, lifeless, mindless, poorAmphibian","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f48,longdead jotun,"gold (205), onyxes (7), sapphires (3)",0,0,4,4,15,"eye (0), head (0), body (0), arm (0), leg (0)",10,50,20,11,9,5,0,12,,,"coldResistance (15), poisonResistance (25), pierceImmunity (50)","noHealNaturally, lifeless, mindless, poorAmphibian","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f49,longdead markata,"gold (134), onyxes (7), sapphires (3)",0,0,3,1,3,"eye (0), head (0), body (0), arm (0), leg (0)",8,50,5,11,12,8,0,10,,,"coldResistance (15), poisonResistance (25), pierceImmunity (50)","noHealNaturally, lifeless, mindless, poorAmphibian","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f50,longdead vanara,"gold (136), onyxes (7), sapphires (3)",0,0,3,2,5,"eye (1), head (1), body (1), arm (1), leg (1)",9,50,10,11,9,10,0,10,,,"coldResistance (15), poisonResistance (25), pierceImmunity (50)","noHealNaturally, lifeless, mindless, poorAmphibian","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f51,longdead bandar,"gold (180), onyxes (7), sapphires (3)",0,0,4,3,11,"eye (2), head (2), body (2), arm (2), leg (2)",9,50,15,12,8,9,0,11,,,"coldResistance (15), poisonResistance (25), pierceImmunity (50)","noHealNaturally, lifeless, mindless, poorAmphibian","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f52,longdead partholonian,"gold (239), diamonds (2), onyxes (7), sapphires (3)",0,0,5,2,9,"eye (0), head (0), body (0), arm (0), leg (0)",13,50,13,14,12,12,0,13,,,"coldResistance (15), poisonResistance (25), stealthy (65), pierceImmunity (50)","noHealNaturally, glamour, lifeless, mindless, poorAmphibian","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Undead
f53,dog,,0,0,0,1,7,"eye (2), head (2), body (2), leg (2)",5,11,7,11,11,5,2,24,e322 (1),,stealthy (40),animal,"body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,Animal
f54,sea dog,,46,5,0,2,14,"eye (7), head (7), body (7), leg (7)",6,11,10,11,11,5,2,12,e322 (1),,,"amphibian, animal","body (1), misc (2)","eye (2), head (1), body (1), leg (4)","f73, f200, f201, f202, f203","Animal, Amphibian, Starting Form"
f55,wolf,,0,0,0,2,8,"eye (2), head (2), body (2), leg (2)",5,12,9,11,11,5,2,26,e322 (1),,stealthy (40),"animal, forestSurvival, mountainSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,Animal
f56,black dog,gold (12),0,0,0,2,14,"eye (4), head (4), body (4), leg (4)",13,13,13,12,10,5,2,24,e322 (1),,"darkvision (100), darkPower (2), stealthy (60)",animal,"body (1), misc (2)","eye (2), head (1), body (1), leg (4)",,Animal
f57,dire wolf,gold (77),0,0,2,3,23,"eye (7), head (7), body (7), leg (7)",5,13,15,13,11,5,2,28,e322 (1),,"stealthy (40), darkvision (50)","animal, forestSurvival, mountainSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f59,Animal
f58,cu sidhe,gold (100),0,0,2,3,26,"eye (7), head (7), body (7), leg (7)",14,14,15,13,12,5,2,28,e322 (1),,"stealthy (40), darkvision (50)","animal, forestSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f59,Animal
f59,barghest,gold (98),0,0,2,3,28,"eye (6), head (6), body (6), leg (6)",15,14,16,13,11,5,2,26,e223 (1),,"darkvision (100), darkPower (3), stealthy (60)",animal,"body (1), misc (2)","eye (2), head (1), body (1), leg (4)","f60, f253, f254",Animal
f60,jotun wolf,"gold (168), sapphires (3)",0,0,3,4,30,"eye (9), head (9), body (9), leg (9)",14,17,23,13,11,5,2,28,"e322 (1), e29 (1)",,"berserk (3), coldResistance (15)","animal, forestSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f255,Animal
f61,skinshifter,gold (145),0,0,3,2,13,"eye (0), head (0), body (0), arm (0), leg (0)",10,12,12,10,10,10,2,13,,,"regeneration (2), secondshape (62)",forestSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f39,Tagless
f62,werewolf,,0,0,0,3,20,"eye (6), head (6), body (6), arm (6), leg (6)",12,17,14,13,11,5,2,14,"e20 (1), e29 (2)",,"firstshape (61), regeneration (2)",forestSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Tagless
f63,vaetti,,46,4,0,1,8,"eye (0), head (0), body (0), arm (0), leg (0)",12,9,9,10,10,10,3,10,,,stealthy (40),forestSurvival,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f31, f61, f78","Starting Form, Tagless"
f64,predator lizard,"gold (28), emeralds (1)",18,2,0,2,13,"eye (3), head (3), body (3), arm (3), leg (3)",11,11,11,11,8,10,4,11,e20 (1),,poisonResistance (5),"coldBlooded, swampSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f69, f185","Cold-Blooded, Starting Form"
f65,lamia,"gold (188), emeralds (7)",0,0,4,2,14,"eye (5), head (5), body (5), arm (5), leg (5)",13,15,12,11,9,10,3,12,"e63 (1), e29 (1)",,"poisonResistance (15), regeneration (7), Shapechange(66)","coldBlooded, female, forestSurvival, swampSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Cold-Blooded
f66,black serpent,"gold (197), emeralds (7)",0,0,5,3,22,"eye (8), head (8), body (8)",13,15,12,14,7,10,3,8,e239 (1),,"Shapechange(65), poisonResistance (15), regeneration (11)","coldBlooded, forestSurvival, swampSurvival","body (1), misc (2)","eye (2), head (1), body (1)",,Cold-Blooded
f67,naga,"gold (63), emeralds (2)",0,0,1,3,16,"eye (5), head (5), body (5), arm (5)",13,11,12,10,11,10,4,10,e239 (1),,"darkvision (75), poisonResistance (10)","amphibian, coldBlooded, swampSurvival","hands (2), head (1), body (1), misc (2)","eye (2), head (1), body (1), arm (2)",f215,"Cold-Blooded, Magic Being"
f68,pale one,gold (7),27,2,0,3,18,"eye (2), head (2), body (2), arm (2), leg (2)",12,10,12,8,8,7,3,10,,,"darkvision (100), siegeBonus (2)",coldBlooded,"hands (2), head (1), body (1), feet (1), misc (2)","eye (1), head (1), body (1), arm (2), leg (2)","f158, f159, f171, f174, f181, f183","Cold-Blooded, Starting Form"
f69,sobek,"gold (118), emeralds (1)",0,0,2,3,25,"eye (8), head (8), body (8), arm (8), leg (8)",13,13,14,12,9,8,4,12,e20 (1),,poisonResistance (8),"coldBlooded, swampSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f70, f198",Cold-Blooded
f70,old sobek,"gold (183), emeralds (1)",0,0,4,4,37,"eye (9), head (9), body (9), arm (9), leg (9)",14,14,16,13,9,8,4,12,e20 (1),,poisonResistance (8),"coldBlooded, swampSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Cold-Blooded
f71,red troglodyte,gold (205),0,0,4,4,37,"eye (7), head (7), body (7), arm (7), leg (7)",8,14,23,12,9,5,2,16,e29 (2),,darkvision (100),"animal, trample","hands (2), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f72,Animal
f72,black troglodyte,gold (253),0,0,5,4,43,"eye (9), head (9), body (9), arm (9), leg (9)",8,15,24,13,10,5,2,16,e29 (2),,darkvision (100),"animal, trample","hands (2), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Animal
f73,cave spider,"gold (74), emeralds (3)",0,0,1,4,15,"eye (8), head (8), body (8), leg (8)",5,10,9,12,10,5,2,14,"e65 (1), e261 (1)",,"darkvision (100), poisonResistance (15)",animal,"body (1), misc (2)","eye (8), head (1), body (1), leg (8)","f74, f76, f273",Animal
f74,great spider,"gold (129), emeralds (3)",0,0,3,5,26,"eye (14), head (14), body (14), leg (14)",5,10,11,12,10,10,2,14,"e65 (1), e261 (1)",,poisonResistance (15),"animal, forestSurvival","body (1), misc (2)","eye (8), head (1), body (1), leg (8)","f75, f246",Animal
f75,hunter spider,"gold (284), emeralds (3)",0,0,6,6,55,"eye (16), head (16), body (16), leg (16)",5,14,16,14,12,5,2,22,"e65 (1), e261 (1)",,poisonResistance (15),"animal, forestSurvival","body (1), misc (2)","eye (8), head (1), body (1), leg (8)",,Animal
f76,xibalban scorpion,"gold (27), emeralds (3)",0,0,1,3,16,"eye (12), head (12), body (12), arm (12), leg (12)",8,15,14,11,7,3,2,8,"e29 (1), e423 (1)",,"darkvision (100), poisonResistance (15)","animal, wastelandSurvival","body (1), misc (2)","eye (8), head (1), body (1), arm (2), leg (8)","f77, f274",Animal
f77,sacred scorpion,"gold (176), emeralds (3)",0,0,4,5,48,"eye (17), head (17), body (17), arm (17), leg (17)",12,15,17,13,7,3,2,8,"e29 (1), e423 (1)",,"darkvision (100), poisonResistance (15)","animal, wastelandSurvival","body (1), misc (2)","eye (8), head (1), body (1), arm (2), leg (8)",,Animal
f78,chud,"gold (95), sapphires (1)",0,0,2,2,17,"eye (2), head (2), body (2), arm (2), leg (2)",12,13,13,12,12,10,3,14,,,coldResistance (5),,"hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f39, f139",Tagless
f79,vanara,gold (13),29,3,0,2,10,"eye (1), head (1), body (1), arm (1), leg (1)",8,9,10,10,10,10,3,10,,,,"animal, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)","f3, f80, f82","Animal, Starting Form"
f80,bandar,gold (67),0,0,1,3,18,"eye (3), head (3), body (3), arm (3), leg (3)",8,12,15,11,9,9,3,10,,,,"animal, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Animal
f81,kala-mukha,gold (117),0,0,2,3,24,"eye (4), head (4), body (4), arm (4), leg (4)",10,14,18,12,10,9,3,10,,,darkvision (50),"animal, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",,Animal
f82,white one,gold (20),0,0,0,2,11,"eye (1), head (1), body (1), arm (1), leg (1)",11,12,10,10,10,10,3,10,,,reincarnation (1),"animal, forestSurvival","hands (2), head (1), body (1), feet (1), misc (2)","eye (2), head (1), body (1), arm (2), leg (2)",f207,Animal
f83,great lion,gold (52),0,0,1,3,20,"eye (4), head (4), body (4), leg (4)",5,13,15,13,11,5,3,20,"e29 (1), e322 (1)",,,animal,"body (1), misc (2)","eye (2), head (1), body (1), leg (4)","f84, f199",Animal
f84,kithAironic lion,"gold (208), topazes (4)",0,0,4,3,31,"eye (18), head (18), body (18), leg (18)",13,15,18,14,12,5,1,18,"e29 (1), e322 (1)",,"pierceImmunity (50), slashImmunity (50)","animal, magicBeing, forestSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f85,"Animal, Magic Being"
f85,green lion,"gold (265), pearls (5), rubies (3)",0,0,5,3,34,"eye (7), head (7), body (7), leg (7)",16,50,16,14,12,12,0,18,"e29 (1), e322 (1)",,"fireResistance (15), poisonResistance (15)","animal, ethereal, magicBeing, mindless","body (1), misc (2)","eye (2), head (1), body (1), leg (4)",f86,"Animal, Magic Being"
f86,summer lion,"gold (316), pearls (5), rubies (14)",0,0,6,3,44,"eye (0), head (0), body (0), leg (0)",15,50,17,14,12,5,0,18,"e29 (1), e322 (1)",,"heatAura (3), fireResistance (60), poisonResistance (15), Summer Power (25)","animal, ethereal, magicBeing, mindless, wastelandSurvival","body (1), misc (2)","eye (2), head (1), body (1), leg (4)","f87, f307","Animal, Magic Being"
